This split makes it all much more readable Very nice,general
wrong indentation,general
This should be pulled out of the trait since it is a constant put move in some object,general
Weird if the test passes,general
this section is basically unreadable it would greatly benefit from some white space,general
But I also try to limit the scope of the ticket I already did some cleaning to make it easier readable,general
I had a match before but it really doesn't add any value since I don't need the cast anywhere So I found the single isInstanceOf actually a bit more readable,general
can you use these constants in receiveGossip would make things more readable,general
We could store things in a WeakHashMap to not leak classes and class loaders,general
makes sense here after the dependency is moved to class,design
indentation,general
Use 2 spaces indentation below,general
I prefer the code to be correct and readable first when we see that that is a performance problem we’ll fix it but not before,general
this reads a bit too generic should we rename Message to Persisted,general
I think that piece of code is deceptive Can we make it more readable,general
Ill take a look at the ActorComponent and the Message dependencies when I have time,design
Nice catch If we leave it a weak limit then we should document it,general
Shouldn't this use the systems threadfactorys ClassLoader,general
please reformat these to be more readable,general
someone broke you indentation,general
I dont understand why this would be less readable but its up to you,general
well let me explain where I come from this is for logging and the output should be useful for the one seeing it raw millis are not useful offsets are also not really useful because all those calculations in the head are not easy Hence my conclusion that if we include something then it should be human-readable,general
LGTM,general
Nah it looks like you've changed indentation,general
True good catch Did think about it when I first saw the code to mention but thought FSM would mean more dependencies but now I see it is in akka actor,design
Very nice test I love how these multi-node tests becomes much simpler and more readable than the in-memory counterparts Also that a language and set of patterns for how to write these is emerging,general
Well the remote routers need to handle the nodes setting which the local ones do not Hence there must be a translation between local and remote unless the RemoteDeployer would not use local parsing at all which is obviously even worse If that translation is part of the router interface so that the RemoteDeployer could do it generically then local routers need to know about their remote counterparts which is not possible due to cyclic dependencies between the packages,design
Add needed implicit conversion in this package scala file so that existing code works outside actors,general
This is a bit half baked isn’t it Either do it fully with nice indentation or leave it on one line,general
any risk with that we can not change this one would it be possible to move to context,general
I would not check for nulls here,general
The benefits are more readable failure messages and two lines less could be used through-out,general
Will rename to Settings,general
Looks great A lot nicer more readable and intuitive,general
btw if you want to retain the debugging information here its often useful you should probably either 1 use logging at a debug level or 2 pass a debug flag into the codec constructor,design
Did you send a bug report comment upstream or something because otherwise we are gonna have to fix this again with the next version of assimp,general
Can not that be solved with overloading,general
I think JavaLoggingEventHandler is a good thing An advantage over slf4j with jul is that it doesnt require any dependencies but I guess it solved some problem also,design
I patched the CSS to make this readable in HTML but non breaking spaces are probably better Although they could mess with wrapping,general
Yes i struggled a bit with the dependencies here Do u think it would be better to send the publisher ref to the parent from core and start the metricstriggered on that,design
I think its important to specify that the developer must implement ServiceIface and not Iface to make the example clearerisnotinvain that is a good idea,design
No this reads fine Using List or Vector as arguments is more readable It's only in the case where there is an explicit conversion that I think it needs to be overstated,general
please somehow demarcate the end of the constructor arguments given scalariform indentation rules this probably means adding an empty line,general
this class is an internal structure EndpointRegistry This is only used by EndpointManager who does the check and who gets the Quarantine command from the external worlds,general
So akka testkit doesnt have a dependency on either ScalaTest or JUnit so the AkkaJUnitActorSystemResource is not part of the normal akka testkit,general
Avoid this branching here by concating the empty list in case it is not defined and a List with the one item if defined,general
We cant have external dependencies in akkaactor Therefore I have embedded the code You can continue work in your repository and we will copy it The long term goal is to push it down to scala library,design
How about to create a Finagle Thrift service you must use the custom Thrift compiler which can be found here regular thrift Iface interface a ServiceIface interface that wraps all return values in a Future which is required by Finagle,design
Create another ticket if you do not want to change the internals,general
I need help with sbt as there are dependency conflicts,general
Nice one,general
Probably not I can expand it into two cases if that's more readable,general
I actually find the case m MemberDowned MemberRemoved more readable,general
This implementation seems like there should already exist such a utility function amongst the dependencies try to find one and use that,design
yes and I think scalariform indentation will be wrong if placing it above the case,general
This is a actually a chapter that would be more readable if split into Java Scala since it's more sample than text,general
Youre hiding the SecureString dependency on allocatorsh by indirect include via serializeh,general
can this be written in a more readable way,general
You can make this more readable by using the implicit conversion available in,general
In doc code we have switched to 2 space indentation for java code also and line breaks after some 70 chars unsure about the exact number,general
Without a doubt ideally there are no indirect dependencies anywhere but that would take a lot of knowledge about all files dependency fulfillment and usage,design
I changed the MultiNodeSpec to not depend on AkkaSpec or on a specific test framework and removed all dependencies to ScalaTest from the published artifacts,design
LGTM,general
Why 4 spaces indentation mixed with 2 Matters since it is part of docs IMHO,general
what is the advantage of this Base64 which adds another dependency over javanetURLEncoderULRDecoder,design
Why do we want to make the user type more by removing all the methods from Actor,general
Im not a huge fan of adding dependencies even for tests can we avoid these,design
Id rather avoid adding more dependencies in CAddrDB for something that isnt really used elsewhere,design
please fix indentation,general
I can rename it to initialiseAndGetSSLHandler or more verbose,general
indentation braces fixed Ready,general
If you want to make it overridable not declare it as static as override static methods many times give inconsistent behavior,design
Yes A FIXME should probably be added to the dependencies in AkkaBuild as well,design
I'd add some indentation of the whole config and fix formatting of next line,general
SSL contexts shouldnt be reused across connections see So its probably more appropriate to pass in factories directly,design
Nice catch,general
Good rename,general
protected is weaker than protected so what are you saying Subclassing applies to ActorSystem or ActorCell,general
Wrong as in 3chars or wrong as in the code block has wrong indentation,general
Yes I'll add that to the comments so things might be more readable,general
I do not really like methods with innocent sounding names like getX that do a whole lot more than just getting something,general
To create a Finagle Thrift service you must implement the ServiceIface Interface that a custom Thrift compiler generates for your service Scrooge wraps your service method return values with asynchronous,design
The orgjboss dependencies shouldnt be present in the general interface,design
My experience is that looks unreadable for multi-word things but I have not tried it together with,general
Also there is an issue with Message dependency on CamelContext can you suggest any elegant way of getting rid of this dependency,design
Jut as a FYI comeaio will be dropped Ive added a ticket to move the things from orgjbossnettyakkautil to akkautil comtypesafeconfig will become an explicit dependency as well instead of an embedded one This will hopefully clean up the exportPackage,design
Nice Would the code be clearer if the run-method would be named differently,general
If the extension you have a reference to ExtendedActorSystem,general
in what way is this more readable than the original,general
we can add new methods to Context without accidentally breaking peoples Actors,general
LGTM,general
Why different order of args in this factory method compared to the constructor,general
Any suggestions as how to improve on this,general
That method signature change is package protected so it's not reachable,general
This shouldnt be added into akka remote it should be a sub module to akka remote so people dont need the extra dependencies if they dont use rcl,design
I prefer to[immutable.Seq] even though you get the same thing The intention is more readable This is the only place with to[Vector] that I could find,general
Are you gonna blame Eclipse for this hideous indentation,general
That is handled by the caller This class has no access to settings,general
You're right That is unreadable without syntax highlighting,general
This duplication is quite ugly Mikes refactor that moves these chaindependent constants to a separate class is nicer but you may want to check that it doesnt introduce new dependencies,design
Nice catch,general
Yep good idea I used that block for debugging at one point which is why it is so verbose,general
we normally use unique names of the barriers to simplify debugging and this tests had already one,general
Excellent thanks Please create a branch off of master and open a pull request with the renames comments,general
instead of an the factory method should take an so that you can also create the supervisor below another,design
othewise it is a bug in the scheduler,general
It will probably change the order on the class path while running the testkit tests but it has no effect and is not intentional Just residue from the first rewrite,general
This may be the cause of the instabilities we have seen with the tests We have already got rid of most of the isTerminated but this instance was forgotten,general
Using ref single updatenewValue could be more efficient I know eliminating a read dependency can help in a DB transaction but not sure about in our STM implementation,design
please move comment before if to make it align properly,general
has it been tested on linux,general
This fix is still relevant because you expect to be able to call getBodyAs several times with the same result adding a debug log stmt should not break things,general
we actually tend to fix up such things by amending the commit and pushing with github is smart enough to figure it all out keeping the PR history and comments intact,general
I have added instructions to the comments Changing how this is generated is ticket,general
Still getting rid of the hashmap in the selector can and IMHO should still be done This has no dependency on this PR however I will open a separate P for that change,design
Debug residue removing,general
Ok that is probably a good idea There are too many comments here now to see what is what,general
Same comments as above,general
this test name suggests more than the test actually verifies,general
From user api its Companion object providing factory methods,design
Removed Was only used for debugging,general
alright do you prefer to do the removal inside the above loop,general
pattern match since you are grabbing the values anyway,general
ok we will keep the test I have changed the loop count Will merge,general
At some point I added factory methods for message to CamelExtension so messages could only be created from camel instance which should be available from every actor,design
You should also mention that you need to add akka remote as a dependency,design
It is scalariform Only happens for align parameters setting which we use I filed a bug,general
ouch debug residue,general
The return value is only used in one place line 195 where the whole bug fix originated,general
no this was not the bug but this is clearly not correct it should do records.filterNot(_.observer == observer),general
I still think it would make sense to take and stash handOverData during the entire lifetime of the singleton,design
I would recommend offering a static factory method which takes an and makes such a top-level supervisor and then an method which takes a supervisor message,design
t does not check if it is an event it could be some stray message and then it will not get sent to unhandled and it is hard to debug,general
BTW it is worth mentioning here that those log at DEBUG level and you must enable debug log level with,general
this is a neat test harness,general
bug fixed,general
named parameter would make it more readable isClient false,design
I introduced a bug in previous refactoring I will update test and fix,general
I think these comments were left over from the previous pull request,general
What about returning 0 here to handle potentially enqueued commands It is not immediately clear to me that this can not be an infinite loop in the worst case,general
Yes make sense also for IndexedSeq above,general
Yeah we have already talked about that If there is not a ticket already add one,general
Should it be ClusterSingletonManager and the child is the actual singleton,design
This is actually the simplest I could do to preserve the existing semantics An even better approach and one I want to do once someone can answer my questions on repercussions is to not dynamically depend on projects but to depend on the dependencyClasspath setting Using this we should be able to get all the dependent jars classpath directories and we can filter this to grab the relevant reference conf files Then were no longer used advanced sbt features and we might see more stability,design
I was looking for a way to reduce unhelpful logging output without disabling stack traces completely so that for certain debugging cases users can turn it back on ideally without needing to recompile,general
a factory which can be instantiated without constructor arguments,design
That is the beauty with actor logging you do not need to get the loop on the same stack,general
This will be used automatically if you use the factory method do not pass in a loader and the context loader is non null,design
The dependency on specs2 has been removed in order to lessen the pain of living close to scala master it would be great if you could check the plain text documentation and make that as good as possible instead thanks,design
SIGAR returns 3 while jmx returns 1 There is no requirement to return 1 or 3 and one minutes is good,general
can not we change this Array to this bug is just another sign that the small performance advantage of array when parsing the original string is not worth it,general
I have run the test locally hundreds and hundreds of times without being able to reproduce it,general
Also you have a bug you a preprending that to that instead of this which means that you are lacking a test,general
I like this name change,general
that would not be a very well behaving singleton should be documented,design
I think this should be accompanied by a factory which accepts and has the appropriate WARNING signs uses,design
I am using a debugger to see what is going on Will do proper debug logs next,general
I hope not that is an interesting test to join when already joined please create a ticket,general
For the code changes: the current akka osgi module has the import for the org apache aries marked as optional so theres no runtime dependency preventing this from working in a plain OSGi environment but I can obviously separate that into a new module as well if you prefer And I can obviously make the changes to the public methods as well,design
Just looking at the property name I thought it was something else I was thinking timeout on the sender side that it expects the ack within this timeCould we use something else than timeout flush,general
Always good idea and indeed found a bug Two more tests are in now,general
String.valueOf(rawValue),general
then I misunderstood the error message I will revisit that and probably have to delete that test or do you have a suggestion of how to test,general
this does not really prune anything is this the bug you meant,general
that is a bug and a actually a very stupid one It is duplicated further,general
Let us verify that again but I think it had something with test protocol not registered which is a good error to log,general
A factory to create MessageQueues for an optionally provided,design
No need just do as the comments that follow say,general
without it this test fails,general
bug I fixed it for the cause case but not the my no cause case,general
We should enumerate which tests we need,general
why is the kernel dependency needed,design
first run on jenkins was successful which does not mean that it is fixed but anyway a good start,general
found the bug in the throttler,general
Debug residue removing,general
Updated according to review comments,general
Nice catch That was a subtle bug,general
while I like short variable names here they are part of the API by being parameter names I recommend using slightly more readable ones cid particularly but I always confused by snr too I always think of signal-to-noise-ratio,design
still smells like a bug is hiding in there somewhere,general
Not likely but lets open a ticket about fixing all such occurences separately,general
I would probably log the exception at debug level,general
Added a test that will start failing when this bug is fixed,general
Looks great Patrik Since this is general purpose does it belong in util Or does that introduce an unwanted dependency on dispatch,design
so if someone sends this a buggy message we do not want it logged in unhandled,general
Might want to include some more debug info about which actorref did not manage to activate within how long,general
Absolutely Will add comments,general
Should include more debug info which consumer,general
since I feel a lack of comments from my side on this PR is not acceptable I have no choice but to say,general
that would not be a very well behaving singleton should be documented,design
To aid in debugging might be nice to know why the message did not get through,general
very strange indeed It would be possible to work around that compiler bug it is adding the generated closure to the public static members but it is broken presumably because it is indeed nested within the by using lazy val but that is too expensive for this minor wart,general
Because newMemberSet is a Set but I need it to be a SortedSet See the comment about bug in Scala There is no CanBuildFrom for SortedSet,general
So I conclude that the bug is fixed until proven otherwise,general
we never loop around when order becomes Concurrent so it can not really be that here,general
Thanks for the review Ronald I will pick up your comments tomorrow morning,general
No It is a bug... Sigh,general
So it appears that this singleton scheduler serves some purpose,design
same thing at other places that use props factory method pattern,design
mistake by me changed from debug when debugging fixing now,general
The problem is not reproducible with this fix the problem will be easier to debug if it manifests again,general
All comments have been addressed Should be picked up by the Kitteh,general
I dont agree I think extensions should be registered on demand when first used Otherwise we have the dependency issue that ActorSystem need to know about all extensions or users need to configure all extensions they use,design
ok I have removed the vals but want comments so some curlies and newlines,general
I could not find anything about reformatting MDC values so this will just print a mildly meaningless 10 digit number What we can do is to print the time of day in UTC side stepping the expensive calendar formatting issues This will usually be well correlated with the SLF4J timestamp because the delay between the generation of the Event and the call to log should not be that long,general
Nice formatting change Should switch to the FSMDocTest approach because that still leaks when tests fail,general
imports at top of file is normally something I just want the IDE to take care of and Eclipse does not do this kind of multi import but I have changed it for you,general
Thanks for the changes I added some minor coding style related comments I vote for merging after those have been applied,general
Why this line here,general
yes this should be public exposing the class was the whole point of the refactoring,design
What happened here I thought I saw this patch as a pull request before,general
You may in your class extending ActorSystemActivator override the getActorSystemConfig,design
Should this class be public,design
I think our convention is to use around variable data in log messages at least Jonas has pointed that out for me,general
use the logging formatting instead,general
this if else has somewhat misleading formatting,general
that was a strange link conversion it starts on line 203,general
Aside from last batch of comments LGTM,general
our convention is to enclose variables in square brackets in log and error messages,general
I think I messed that up Later on the reformatting did not do this,general
Should probably use composition instead of inheritance,design
while I like short variable names here they are part of the API by being parameter names I recommend using slightly more readable ones,general
this file should have worked without reformatting as far as I can see reformatting it is fine but want to be sure you did not reformat because the parser was upset about the original,general
The two other constructors have been added to allow Java users to use the ActorSystemActivator but if you want this third option to be available for Java users as well I'll refactor this class to have a protected strategy method that people can override to achieve the same goal,design
Can you change your commit message to match the usual Akka conventions,general
Only used in one place inline expression there,general
I will remove my link and see if the docs still build If they do then we can probably get rid of that line altogether,general
LGTM apart from the formatting,general
Would it be possible to make actor accessible in the public API,design
Good idea Maybe make the 7 day window a command line flag,general
look on the line above also checked when reading the config,general
True but I do not want to waste CPU formatting something that might not be used and then the user can not really reformat easily,general
Are you gonna blame Eclipse for this hideous indentation,general
This line makes 0 sense to me,general
is not existenceConfirmed also an implementation detail that should not be exposed to users,design
Method is exposed to subclasses to be able to implement custom routers based on mailbox and actor internal state,design
I would suggest switching to either Vector or a mutable append data structure to avoid reverse on line 28,general
I agree to this as the most important reason It gives us freedom to evolve the api without breaking user code,design
True will make public again On the other hand we have other places which require external implementors to put their code in the akka package,design
Should this class be public,design
Portefeuille isnt capitalised elsewhere,general
this header line is wrong remove,general
Is not there a stray in the line 10 TimeUnit SECONDS,general
I observed the same strange GUI freeze again under some special circumstances,general
Is this line safe,general
Done although personally I do not like nested expressions so I keep the 2 step approach But  I have simplified the toString stuff,general
If you mean negative delay not negative drift then the max 1 guards for negative delay in the expression,general
I assumed so and I did not pay that much attention to formatting,general
Is this a patch for this one,general
mental note fix grammar below,general
can you change seenBy and getSeenBy to private That should only be internal api,design
And the line you are commenting on does not make sense,general
header line here,general
yes it looks a lot more funny outside of Eclipse,general
Since the SelectionHandler ref is not exposed to the user the only ones who can potentially call assign a watch are ourselves control for what actors we are seeing Terminated events which are only children,design
Should we put this in the base class so we don't need to override it and type the same thing every test we can still override it,design
Type in expressions to have them evaluated,general
I thought I had done that but some reformatting or automatic importing must have messed it up again Will fix,general
some comments in the code would be appreciated,general
The Send class here is intentionally mutable (through the ByteBuffer) because we want to work with a single instance until its buffer has been encrypted completely,design
Added documentation and fixed formatting,general
if we make Actor an abstract base class we will break literally every user code base that exists,design
Should this class be public,design
Does this empty line somehow contain secret information is it some side channel 429 what do these primes tell us,general
wrong the changes are probably some auto formatting thing in IntelliJ,general
the if expressions could now be inlined I think that was not previously the case because everything was on two lines,general
I meant to ask why this line is not moved three lines up,general
ouch I blame my scrapped Eclipse workspace for losing this piece of configuration,general
automatic formatting perhaps,general
should this be public,design
This line does not do anything,general
Sorry I was looking at the wrong word yeah for the may in line 82 I leave it as is,general
No this is cheating by using low-level API that shouldn't even be exposed,design
this formatting looks a bit surprising parenthesis structure I would suggest keeping all of createInstanceFor on the first line and start the next with recover,general
Yes no extra line there either,general
is this formatting looking good,general
eclipse formatting due to the,general
Could you revert this formatting change,general
when using one parameter per line it is preferred to start the first one on a new line,general
eclipse scalariform will reformat this line because of the,general
Apart from formatting LGTM,general
looks magic and fragile and eclipse does not understand it but if it is not possible then just ignore my comment,general
this is an automatic formatting by scalariform in eclipse only when there is,general
I would add some indentation of the whole config and fix formatting of next line,general
Should we put this in the base class so we do not need to override it and type the same thing every test We can still override if needed,design
This is not supposed to be used externally but it is not clearly marked as such,design
the local def was only used to get around the old clunky syntax can make it nice and slick in one expression now,general
we have a convention to use square brackets around variables in log and exception messages,general
Could you explain what your patch does or changes in comparison to the legacy code,general
the if expressions could now be inlined I think that was not previously the case because everything was on two lines,general
As we talked about it should use an ExecutorServiceConfigurator so it can be managed externally,design
we have those to be able to run tests directly inside Eclipse when the scalatests runner is working we will remove all of them,general
Why is MixMetricsSelector both a case class and a case object and the case object neither extends the class nor returns a cached default value Is MixMetricsSelector case-class mutable I vote for removing the case object MixMetricsSelector,design
Couldnt this just as well be patched on the BitcoinQt side to avoid rebuilding boost If the problem is just the startup time then why does the version that doesnt care about startup time not work,general
it looks like you have some auto line break setting that does not match our conventions 120 char lines are ok,general
Why does it return a RoutedActorRef leaking implementation detail,design
Ideally line breaks should be done virtually by formatting in your editor Since that is not the case I do not think we should sacrifice readability for people using unix terminals 120 is a good modern limit,general
I do a manual edit of the translation file with Qt Linguist so that no unfinished tags are present,general
I have not followed the problems so I do not have any valuable comments here,general
created a separate class for SystemGuardian,design
LGTM apart from some formatting,general
of course you do not need to undo these formatting changes,general
Can you reach Maven have a branch that ports Zipkin over to using Maven Would that help Its not fully functioning yet so itd take a bit more time to get it ready for release,general
I think that is problematic from the command line script,general
We didnt implement the thrift transport in finagle but I remember reading on the mailinglist someone willing to do first,general
Seems a bit dangerous to me it can go in for now but in the future it might make sense to think about a cleaner way of FSM composition,design
My goal is to make sure that the tests are deterministic Without adding some predictability to the rng the test will fail randomly which can be a frustrating experience,general
Might be dangerous in the wrong hands Feel free to remove it,design
Not loving this If I get rid of the compile warnings then I get a dirty tree and I know sooner or later Ill accidentally commit,general
I would change the type of count to int and change the default value to 1,general
Thanks a lot for the pull request It looks good all in all but we could make it even betterI would recomend to check if the buffer has an array,general
Im not sure if we can assume that error codes and messages are in ASCII,general
What am I doing I read the exact same document Will update to use the operator,general
Should this class be public,design
No I mean it is in the camel.internal package and is private since it is for the ActivationTracker put in the ActivationTracer companion and make it private,design
It would be more scala idiomatic to use the apply methodcodecHttpLike,general
As suggested above better to enforce UTF8 both ways,general
If it should be part of the Api like the LocalActorRef or the RemoteActorRef it should But I do not like making abstract classes part of the API instead of interfaces,design
ACK but needs rebase,general
Doesnt seem related to this patch,general
constants are Capitalized,general
youre going to have to back out the README changes before I can merge perhaps put your README text in READMEmd,general
Yeah getting rid of the monkey patch is even better,general
Opened pull request,general
Some indentation issues here and below 4 spaces,general
sipa ACK to that suggestion,general
Guess I didnt realize there were 2 spaces there Im getting old,general
Could you add comments in a similar style to the other functions And could you also add some test cases in ClientSpecscala for the new commands,general
Do I understand correctly that this conflates NULL and empty string by always translating empty string to None If a legitimate empty string were returned would it result in None and thus be indistinguishable from NULL That would not be a good thing,general
A dev is free to close this when you want to keep it At least such a pull can lead to think again over certain parts in the code and thats also positive IMHO,general
The substract fee from sent amount button is a nice idea They talked little about it,general
Just wondering what was the reasoning behind removing the pipelineFactory field,general
Ill push a new commit to fix these and now Ive got Eclipse set to use spaces for tabs properly I hope,general
use camelCase naming convention forceExpire,general
When tuples arent natural use sequence the statements instead While correct it isnt obvious to the reader,general
Alright good to know Im working on getting us upgraded to whats current so probably at least one of these will pan out Thanks for the help,general
Mind that normal users dont have a clue what Qt is If you want to give it a name its the Satoshi client,general
Any internal usages that should be updated,design
This should be fixed,general
This is how it is implemented in the ClusteredActorRef the design of the RoutedActorRef was based on,design
is SchedulerException ever exposed to users Make it private,design
Why does this class extend ScalaActorRef,design
I will make it private to not confuse users It is just that other internal events are published in akka as public classes,design
It seems like that wasnt being used previously,general
consistent styling no whitespace between tokens,general
We discussed it some time ago And we reached the agreement that it is dangerous as they are internals and we are not prepared to expose them as they are exposing the internals of implementation and break encapsulation,design
ACK tested clean builds of both bitcoinqt and bitcoind individually with custom CXXFLAGS,general
I agree that this shouldn't be exposed at all it still best way to avoid reinventing the wheel is to use the BatchingExecutor,design
why do you need the empty check,general
I was wondering about that and tested with gcc before putting in a goofy return notreached GCC doesnt complain,general
Closing as resolved,general
Hey sgarg take a look at the recent changes to finagleredis mosesn recently added a bunch of set and list commands If you have additional commands to add please open a new pull request Thanks,general
Its just generally good to avoid changing a line that doesnt need to be,general
The events need to be private and should not be exposed They are for internal use only Users can use awaitActivation methods from Activation,design
Why two at the same indentation,general
I would like to see benchmarks against the normal MySQL driver as part of this effort For performance memory usage and CPU usage,general
I think the deprecation and the refactoring should be kept separate as one is changing user API and one is internal implementaiton details,design
RoutedActorRef is going to be a part of the API just like the LocalActorRef where you can do Router specific stuff on like adding removing,design
You could assert here,general
Can you call response reply to match the Rep type and keep the parameters in the same order of log,general
There is also the operator to act like a logical OR operator joining together a number of conditions and requiring only one of them to be,general
Blank string and SQL NULL should never be conflated,general
What confuses me about it being intermittent is that the manual HTTP request works every time,general
See as part of which accomplishes the same thing in a slightly more versatile way,general
updated the code to make count an option and adapted the tests,general
The problem is not a corrupted downloaded file thats easy In your case the database is corrupted despite several systems which try to prevent ever getting an inconsistent state on disk,general
I recently took a look at Boost 150 which was released a few days ago it seems they took a different approach to fix this,general
Nice ACK on the codeMay need testcases though there are currently no testcases for CDataStream with SERGETHASH at all,general
why not Nil,general
That makes sense I agree it would need more work to be more robust and safe But if you dont think it is worth having we can scrap it and let the user explicitly build the queries,general
after that looks good please merge,general
code style space between colon when specifying a type,general
But to do a redesign on this part I do not consider a part of this already to big task we both agree upon that the current approach is not very extensible,design
think the doc tests should be updated to not use isTerminated,design
Is this a bugfix or new feature,general
Constants should start with UpperCase this is actually not only a matter of style but the pattern matching does not bind uppercase names so it allows you to match against constants,general
TheBlueMatt It IS used when compiling BitcoinQt on Windows directly via the project file Even if this was not used by us it is beneficial to users trying to build from source as a clear indication for static Boost 149 libs,general
IMHO you should take a look at 2991 and merge that before merging this pullrequest as that would be easier for translators,general
Its exactly the same in this case I have no preferenceif you have elifs you can only use if definedXXX as there is no elifdef,general
Closing this issue as Im not sure its relevant if it is please reopen,general
That string causes an error when trying to translate it on Transifex I guess because of the code tag,general
UnsupportedActorRef already implements ScalaActorRef,design
ThanksYikes this is an ugly bit of Synchronized in Scala might consider a more explicit approach too,general
That could be the cause of the timeout exceptions Im now seeing with Finagle,general
Ah yeah I think that would be better Ill update the patch,general
Is this a public method intended for end-user usage,design
I pulled this internally you will see your commit soon in this repo Thanks,general
Really I can be a fucking damn nitpicker but that indentation thing could have been fixed Im thinking about never doing anything coding style related in core if that is what you guys want then winwin,general
I'm still unsure if we should expose implementation details or not we should discuss it,design
Will this commit be available in the staging tree,general
As I said just a feeling and Im no native english speaking person,general
One reason to not use Akka actors could be that the Akka actors may be dependent on the Index class If the test class is dependent on Akka actors,design
Thank you Im pulling this in internally should show up here soon,general
ok if I make it private,design
Very nice Can you add a comment above the static vars in checkpointscpp so we remember how to get them the next time we add a checkpoint,general
I actually uncommented that line yesterday while testing something and I wasnt even aware we had a blockprint function until I saw it conveniently in the code I was looking at,general
You have to use sbt to build finagle see the README at are used internally and are not compatible with the github repo,general
Need an explicit charset I suggest that we require UTF8 on both sides,general
10 potential performance improvement during bootstrapping or loadblock is not enough to justify the testing effort to make sure a change doesnt break anything in my opinion,general
I still think the doc tests should be updated to not use isTerminated since that is user API,design
it does not have to but it is only used here close connection to the binarySearch I can make it private if you prefer that,design
Not through these methods I suggested that the current design is not very extensible for this reason but that is how it was modelled with the ClusterActorRef based on It certainly isn not the way how I would have modelled it,design
Didnt have time to test it properly so far sorry Ill close it for now and I guess if someone else encounters this same problem upgrading we will be able to reopen it,general
Ive updated the patch according to my last comment Im happy to update more if need be,general
Glad to see youre contributing to the finagle community However I think that it would make more sense to keep feature separate for now Our team is very small and we unfortunately cannot afford to maintain every pull request with big new features that we receive I think that making this a separate library that integrates well with finagle is the best way forward,general
I noticed it was still working but I was thinking it should handle this situation a bit more gracefully and not log a stack trace Either way it sounds like this will go away in the next version when snappy is removed,general
I think I know what the problem is your segment might have no docs in that field I will try to write a test and come up with a patch,general
Can you gist the full stack trace of the failure that you get,general
I can give it a try it can be interesting experiment,general
Should this create the Props only Passing ActorRefFactory if actor context and potentially using it in the wrong place outside the actor,design
How about moving these into akka util,design
This whole structure is specific to this actor and should not be used anywhere else,design
That is what I get for not searching before filing an issue,general
s1monw Any idea when 0 90 4 will be released Thanks,general
Makes sense to me if the size parameter is all it takes to return the first results of the match all query then maybe MYINDEX search is enough and makes a nice default endpoint,general
minimize exposure,design
yes theres only linux targets by now creating a new project should set the default paths and since its using makefiles its fairly easyjust updated it so it doesnt complain about so many errors in the latest version,general
pushed to 0 90 master,general
Ah my bad I do realize now that my production single node is 0 18 7 I was testing clustering but using 0 19 Sorry for the confusion,general
so thinking about it a bit more we don t really support different cases in other places so maybe it makes sense to stay consistent instead of just supporting it here,general
pushed a fix for the null pointer exception it works well now Note because of the near real time search you will get a NOT FOUND response when you run it it will get after 1 second,general
This should not be here this is specific to the TestTransport,design
martijnvg That seems reasonable Done,general
1 it would be super useful to have this feature for distributed search,general
Is there a reason for exposing CompactByteString and ContByteString as return types of the public api should not be a concern to the user just like users should not need to deal with Map1 A user should never be using the CompactByteString object as the ByteString object should be creating compact ByteStrings but the abstract ByteString class should just be returning ByteString,design
mal thanks This is really interesting It looks like you are hitting 2609 except it was supposed to be fixed in 0 20 5,general
Maybe add a h option no need to document it in the displayHelp method as this is known from many unix commands,general
This is the most dangerous initialization pattern presence of circular dependencies,design
this should go inside RemoteWatcher that use props factory method pattern,design
I think First would be a bad default for this function score it made sense when we did it in the custom filters score I think Multiply would make more sense,general
Can we solve all those in some more elegant way some implicit conversion that is only for internal use,design
See also 1819,general
gsf cool thanks Will push an enhancement so it will warn in this case that multicast discovery is disable but still startup,general
fixed by commit 11bf7a8b1a7ec88e4d38ee69c8b5c577001fb68d,general
The events need to be private and should not be exposed They are for internal use only Users can use awaitActivation methods from Activation,design
You sure Http request parameter parsed is ignoreConflicts and defaults to true,general
this is just a case of finagle being too verbose im landing a fix for this today or tomorrow,general
have changed to your method the last one would have probably failed with nonenglish locales,general
I have made them internal again,design
Thanks will do next timeSorry a bit rush,general
pushed here is the hash cabbf7805b4fdc9342970e4e4b9f873436c9615c,general
OK and sha1 links deployed,general
I wanted to ByteStringCompact next to ByteString1 and ByteStrings to keep the three implementations together and so that ByteStringCompact has access to things which are private though currently the critical stuff is all private,design
This sort works correctly if all index type combinations have num mapped as integer,general
Here you go gist github com polyfractal 4997040Just realized that the C1 client node was not configured in Ansible so I didn t collect nodes local stats for that node do you want me to redo it and collect stats from that node as well,general
